CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.121094 1576604251.8993
MEM 11.234375 1576604252.0060
MEM 20.285156 1576604252.1137
MEM 27.503906 1576604252.2204
MEM 33.378906 1576604252.3271
MEM 38.800781 1576604252.4328
MEM 39.542969 1576604252.5385
MEM 39.542969 1576604252.6472
MEM 44.015625 1576604252.7538
MEM 66.761719 1576604252.8605
MEM 76.609375 1576604252.9703
MEM 76.800781 1576604253.0820
MEM 80.207031 1576604253.1937
MEM 84.414062 1576604253.3044
MEM 88.488281 1576604253.4171
MEM 92.382812 1576604253.5278
MEM 97.066406 1576604253.6349
MEM 103.671875 1576604253.7427
MEM 108.031250 1576604253.8488
MEM 114.949219 1576604253.9555
MEM 119.050781 1576604254.0694
MEM 121.503906 1576604254.1771
MEM 124.535156 1576604254.2849
MEM 131.492188 1576604254.3926
MEM 136.960938 1576604254.5003
MEM 143.402344 1576604254.6072
MEM 146.203125 1576604254.7149
MEM 148.140625 1576604254.8227
MEM 149.167969 1576604254.9303
MEM 151.226562 1576604255.0373
MEM 151.957031 1576604255.1539
MEM 169.304688 1576604255.2616
MEM 172.007812 1576604255.3684
MEM 173.628906 1576604255.4771
MEM 174.960938 1576604255.5830
MEM 177.574219 1576604255.6887
MEM 182.015625 1576604255.7954
MEM 187.074219 1576604255.9007
MEM 189.910156 1576604256.0065
MEM 192.699219 1576604256.1144
MEM 195.515625 1576604256.2221
MEM 200.394531 1576604256.3358
MEM 200.394531 1576604256.4485
MEM 200.394531 1576604256.5592
MEM 200.394531 1576604256.6646
MEM 200.394531 1576604256.7715
MEM 200.394531 1576604256.8769
MEM 200.394531 1576604256.9837
MEM 200.394531 1576604257.0910
MEM 200.394531 1576604257.1961
MEM 200.394531 1576604257.3030
MEM 200.394531 1576604257.4098
MEM 200.394531 1576604257.5150
MEM 200.394531 1576604257.6202
MEM 200.394531 1576604257.7252
MEM 200.394531 1576604257.8308
MEM 200.394531 1576604257.9360
MEM 200.394531 1576604258.0418
MEM 200.394531 1576604258.1472
MEM 200.394531 1576604258.2528
MEM 200.394531 1576604258.3579
MEM 200.394531 1576604258.4633
MEM 200.394531 1576604258.5684
MEM 201.898438 1576604258.6916
MEM 226.089844 1576604258.8013
MEM 208.070312 1576604258.9110
MEM 204.417969 1576604259.0177
MEM 211.398438 1576604259.1256
MEM 213.109375 1576604259.2319
MEM 215.039062 1576604259.3406
MEM 217.695312 1576604259.4473
MEM 218.828125 1576604259.5562
MEM 220.675781 1576604259.6829
MEM 220.820312 1576604259.8006
MEM 220.820312 1576604259.9096
MEM 220.820312 1576604260.0169
MEM 220.820312 1576604260.1248
MEM 220.820312 1576604260.2315
MEM 220.820312 1576604260.3392
MEM 220.820312 1576604260.4470
MEM 220.820312 1576604260.5548
MEM 222.394531 1576604260.6695
MEM 247.835938 1576604260.7812
MEM 238.453125 1576604260.8870
MEM 221.625000 1576604260.9997
MEM 221.753906 1576604261.1107
MEM 221.937500 1576604261.2214
MEM 223.429688 1576604261.3311
MEM 224.238281 1576604261.4408
MEM 225.425781 1576604261.5508
MEM 226.773438 1576604261.6605
MEM 227.425781 1576604261.8011
MEM 227.566406 1576604261.9138
MEM 227.566406 1576604262.0192
MEM 227.566406 1576604262.1258
MEM 227.566406 1576604262.2310
MEM 227.566406 1576604262.3359
MEM 227.566406 1576604262.4425
MEM 227.566406 1576604262.5474
MEM 227.566406 1576604262.6528
MEM 227.566406 1576604262.7589
MEM 228.941406 1576604262.8688
