CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.437500 1576604654.5067
MEM 15.355469 1576604654.6134
MEM 22.832031 1576604654.7202
MEM 29.457031 1576604654.8269
MEM 36.617188 1576604654.9336
MEM 39.488281 1576604655.0413
MEM 39.492188 1576604655.1500
MEM 40.000000 1576604655.2577
MEM 47.421875 1576604655.3644
MEM 73.898438 1576604655.4712
MEM 76.695312 1576604655.5771
MEM 81.265625 1576604655.6840
MEM 91.804688 1576604655.7900
MEM 95.968750 1576604655.8988
MEM 102.113281 1576604656.0065
MEM 105.105469 1576604656.1182
MEM 108.789062 1576604656.2299
MEM 110.281250 1576604656.3436
MEM 112.101562 1576604656.4573
MEM 114.531250 1576604656.5720
MEM 118.566406 1576604656.6817
MEM 121.507812 1576604656.7914
MEM 125.750000 1576604656.8994
MEM 131.714844 1576604657.0063
MEM 137.214844 1576604657.1140
MEM 144.261719 1576604657.2217
MEM 146.261719 1576604657.3294
MEM 148.160156 1576604657.4361
MEM 149.175781 1576604657.5448
MEM 151.136719 1576604657.6505
MEM 151.484375 1576604657.7572
MEM 166.144531 1576604657.8640
MEM 171.621094 1576604657.9707
MEM 173.562500 1576604658.0774
MEM 174.503906 1576604658.1836
MEM 176.707031 1576604658.2913
MEM 181.906250 1576604658.3970
MEM 187.093750 1576604658.5038
MEM 190.640625 1576604658.6105
MEM 192.902344 1576604658.7262
MEM 193.660156 1576604658.8369
MEM 194.921875 1576604658.9458
MEM 200.187500 1576604659.0535
MEM 200.222656 1576604659.1586
MEM 200.222656 1576604659.2664
MEM 200.222656 1576604659.3736
MEM 200.222656 1576604659.4802
MEM 200.222656 1576604659.5867
MEM 200.222656 1576604659.6918
MEM 200.222656 1576604659.7983
MEM 200.222656 1576604659.9053
MEM 200.222656 1576604660.0127
MEM 200.222656 1576604660.1195
MEM 200.222656 1576604660.2269
MEM 200.222656 1576604660.3333
MEM 200.222656 1576604660.4387
MEM 200.222656 1576604660.5456
MEM 200.222656 1576604660.6506
MEM 200.222656 1576604660.7558
MEM 200.222656 1576604660.8609
MEM 200.222656 1576604660.9661
MEM 200.222656 1576604661.0813
MEM 200.222656 1576604661.1890
MEM 201.710938 1576604661.2969
MEM 210.140625 1576604661.4056
MEM 202.316406 1576604661.5135
MEM 208.164062 1576604661.6222
MEM 205.683594 1576604661.7299
MEM 229.222656 1576604661.8376
MEM 229.308594 1576604661.9476
MEM 208.812500 1576604662.0554
MEM 208.968750 1576604662.1641
MEM 205.886719 1576604662.2701
MEM 229.425781 1576604662.3788
MEM 204.164062 1576604662.4881
MEM 208.367188 1576604662.5948
MEM 205.886719 1576604662.7025
MEM 227.562500 1576604662.8093
MEM 205.906250 1576604662.9160
MEM 208.941406 1576604663.0235
MEM 211.828125 1576604663.1292
MEM 205.906250 1576604663.2433
MEM 222.636719 1576604663.3560
MEM 229.445312 1576604663.4649
MEM 205.906250 1576604663.5746
MEM 229.402344 1576604663.6803
MEM 207.187500 1576604663.7911
MEM 203.156250 1576604663.9177
MEM 203.156250 1576604664.0274
MEM 203.156250 1576604664.1391
MEM 203.156250 1576604664.2468
MEM 203.156250 1576604664.3635
MEM 203.156250 1576604664.4704
MEM 203.156250 1576604664.5754
MEM 203.156250 1576604664.6804
MEM 203.156250 1576604664.7872
MEM 203.156250 1576604664.8930
MEM 203.156250 1576604664.9982
MEM 203.156250 1576604665.1046
MEM 203.156250 1576604665.2098
MEM 203.156250 1576604665.3150
MEM 203.156250 1576604665.4218
MEM 203.156250 1576604665.5269
MEM 203.156250 1576604665.6382
MEM 203.156250 1576604665.7449
MEM 203.156250 1576604665.8501
MEM 203.156250 1576604665.9560
MEM 203.156250 1576604666.0612
MEM 203.156250 1576604666.1664
MEM 203.156250 1576604666.2715
MEM 203.156250 1576604666.3767
MEM 203.156250 1576604666.4816
MEM 203.156250 1576604666.5877
MEM 203.156250 1576604666.6929
MEM 203.156250 1576604666.7981
