CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.074219 1576604084.5796
MEM 12.871094 1576604084.6883
MEM 17.304688 1576604084.8020
MEM 21.011719 1576604084.9099
MEM 27.226562 1576604085.0168
MEM 33.527344 1576604085.1235
MEM 38.261719 1576604085.2302
MEM 39.484375 1576604085.3369
MEM 39.484375 1576604085.4436
MEM 45.066406 1576604085.5505
MEM 71.429688 1576604085.6572
MEM 76.214844 1576604085.7669
MEM 77.453125 1576604085.8737
MEM 83.574219 1576604085.9803
MEM 93.210938 1576604086.0870
MEM 100.648438 1576604086.1937
MEM 105.113281 1576604086.3007
MEM 111.289062 1576604086.4067
MEM 119.019531 1576604086.5129
MEM 123.480469 1576604086.6186
MEM 129.359375 1576604086.7260
MEM 136.738281 1576604086.8330
MEM 143.421875 1576604086.9391
MEM 145.085938 1576604087.0481
MEM 146.570312 1576604087.1578
MEM 147.750000 1576604087.2658
MEM 148.828125 1576604087.3726
MEM 151.152344 1576604087.4794
MEM 153.449219 1576604087.5961
MEM 169.687500 1576604087.7028
MEM 172.128906 1576604087.8085
MEM 173.761719 1576604087.9144
MEM 175.578125 1576604088.0221
MEM 177.320312 1576604088.1308
MEM 179.417969 1576604088.2405
MEM 182.152344 1576604088.3522
MEM 185.671875 1576604088.4619
MEM 187.308594 1576604088.5707
MEM 190.718750 1576604088.6774
MEM 193.085938 1576604088.7839
MEM 195.593750 1576604088.8906
MEM 200.453125 1576604088.9977
MEM 200.453125 1576604089.1029
MEM 200.453125 1576604089.2081
MEM 200.453125 1576604089.3174
MEM 200.453125 1576604089.4243
MEM 200.453125 1576604089.5302
MEM 200.453125 1576604089.6354
MEM 200.453125 1576604089.7403
MEM 200.453125 1576604089.8454
MEM 200.453125 1576604089.9522
MEM 200.453125 1576604090.0574
MEM 200.453125 1576604090.1625
MEM 200.453125 1576604090.2685
MEM 200.453125 1576604090.3739
MEM 200.453125 1576604090.4801
MEM 200.453125 1576604090.5852
MEM 200.453125 1576604090.6914
MEM 200.453125 1576604090.7980
MEM 200.453125 1576604090.9035
MEM 200.453125 1576604091.0126
MEM 200.453125 1576604091.1186
MEM 200.453125 1576604091.2247
MEM 200.453125 1576604091.3304
MEM 200.453125 1576604091.4399
MEM 200.453125 1576604091.5485
MEM 200.453125 1576604091.6572
MEM 200.453125 1576604091.7632
MEM 200.453125 1576604091.8683
MEM 200.453125 1576604091.9735
MEM 200.453125 1576604092.0787
MEM 200.453125 1576604092.1844
MEM 200.453125 1576604092.2929
MEM 200.453125 1576604092.4018
MEM 200.453125 1576604092.5068
MEM 200.453125 1576604092.6120
MEM 200.664062 1576604092.7241
MEM 200.664062 1576604092.8348
MEM 200.664062 1576604092.9421
MEM 200.664062 1576604093.0472
MEM 200.664062 1576604093.1532
MEM 200.664062 1576604093.2582
MEM 200.664062 1576604093.3632
MEM 200.664062 1576604093.4700
MEM 200.664062 1576604093.5773
MEM 200.664062 1576604093.6824
MEM 200.664062 1576604093.7909
MEM 200.664062 1576604093.8989
MEM 200.664062 1576604094.0056
MEM 200.664062 1576604094.1108
MEM 200.664062 1576604094.2160
MEM 200.664062 1576604094.3211
MEM 200.664062 1576604094.4263
MEM 200.664062 1576604094.5314
MEM 200.664062 1576604094.6416
MEM 200.664062 1576604094.7467
MEM 200.664062 1576604094.8519
MEM 200.664062 1576604094.9570
MEM 200.664062 1576604095.0621
MEM 200.664062 1576604095.1683
MEM 200.664062 1576604095.2734
MEM 200.664062 1576604095.3783
MEM 200.664062 1576604095.4867
MEM 200.664062 1576604095.5928
MEM 200.664062 1576604095.6989
MEM 200.664062 1576604095.8057
MEM 200.664062 1576604095.9108
MEM 200.664062 1576604096.0215
MEM 200.664062 1576604096.1312
MEM 200.664062 1576604096.2370
MEM 200.664062 1576604096.3422
MEM 200.664062 1576604096.4473
MEM 200.664062 1576604096.5526
MEM 200.664062 1576604096.6579
MEM 200.664062 1576604096.7635
MEM 200.664062 1576604096.8687
MEM 200.664062 1576604096.9738
MEM 200.664062 1576604097.0789
MEM 200.664062 1576604097.1851
MEM 200.664062 1576604097.2902
MEM 200.664062 1576604097.3968
MEM 200.664062 1576604097.5020
MEM 200.664062 1576604097.6081
MEM 200.664062 1576604097.7142
MEM 200.664062 1576604097.8193
MEM 200.664062 1576604097.9255
MEM 200.664062 1576604098.0315
MEM 200.664062 1576604098.1372
MEM 200.664062 1576604098.2496
MEM 200.664062 1576604098.3633
MEM 200.664062 1576604098.4700
MEM 200.664062 1576604098.5763
MEM 200.664062 1576604098.6821
MEM 200.664062 1576604098.7871
MEM 200.664062 1576604098.8934
MEM 200.664062 1576604098.9987
MEM 200.664062 1576604099.1038
MEM 200.664062 1576604099.2095
MEM 200.664062 1576604099.3157
MEM 200.664062 1576604099.4208
MEM 200.664062 1576604099.5264
MEM 200.664062 1576604099.6319
MEM 200.664062 1576604099.7371
MEM 200.664062 1576604099.8423
MEM 200.664062 1576604099.9475
MEM 200.664062 1576604100.0539
MEM 200.664062 1576604100.1606
MEM 200.664062 1576604100.2665
MEM 200.664062 1576604100.3725
MEM 200.664062 1576604100.4802
MEM 200.664062 1576604100.5909
MEM 200.664062 1576604100.6986
MEM 200.664062 1576604100.8037
MEM 200.664062 1576604100.9088
MEM 200.664062 1576604101.0150
MEM 200.664062 1576604101.1205
MEM 200.664062 1576604101.2272
MEM 200.664062 1576604101.3323
MEM 200.664062 1576604101.4375
MEM 200.664062 1576604101.5442
MEM 200.664062 1576604101.6491
MEM 200.664062 1576604101.7543
MEM 200.664062 1576604101.8594
MEM 200.664062 1576604101.9649
MEM 200.664062 1576604102.0701
MEM 200.664062 1576604102.1763
MEM 200.664062 1576604102.2824
MEM 200.664062 1576604102.3912
MEM 200.664062 1576604102.4981
MEM 200.664062 1576604102.6041
MEM 200.664062 1576604102.7104
MEM 200.664062 1576604102.8200
MEM 200.664062 1576604102.9327
MEM 200.664062 1576604103.0405
MEM 200.664062 1576604103.1456
MEM 200.664062 1576604103.2506
