CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.417969 1576605098.6126
MEM 15.332031 1576605098.7193
MEM 22.937500 1576605098.8260
MEM 28.984375 1576605098.9320
MEM 35.445312 1576605099.0377
MEM 39.667969 1576605099.1444
MEM 39.679688 1576605099.2501
MEM 41.871094 1576605099.3558
MEM 49.402344 1576605099.4678
MEM 63.324219 1576605099.5774
MEM 74.246094 1576605099.6892
MEM 76.335938 1576605099.7979
MEM 78.046875 1576605099.9048
MEM 81.429688 1576605100.0125
MEM 86.335938 1576605100.1212
MEM 93.410156 1576605100.2289
MEM 100.847656 1576605100.3367
MEM 105.574219 1576605100.4445
MEM 112.363281 1576605100.5502
MEM 119.503906 1576605100.6590
MEM 124.375000 1576605100.7667
MEM 130.355469 1576605100.8741
MEM 136.074219 1576605100.9809
MEM 140.480469 1576605101.0866
MEM 145.800781 1576605101.1933
MEM 148.078125 1576605101.3010
MEM 148.933594 1576605101.4079
MEM 150.750000 1576605101.5146
MEM 151.160156 1576605101.6213
MEM 165.316406 1576605101.7300
MEM 169.644531 1576605101.8417
MEM 170.585938 1576605101.9516
MEM 171.910156 1576605102.0573
MEM 173.464844 1576605102.1640
MEM 174.640625 1576605102.2708
MEM 177.539062 1576605102.3785
MEM 181.718750 1576605102.4854
MEM 187.117188 1576605102.5921
MEM 191.500000 1576605102.6979
MEM 192.535156 1576605102.8056
MEM 193.535156 1576605102.9163
MEM 195.562500 1576605103.0220
MEM 200.050781 1576605103.1299
MEM 200.050781 1576605103.2358
MEM 200.050781 1576605103.3420
MEM 200.050781 1576605103.4491
MEM 200.050781 1576605103.5542
MEM 200.050781 1576605103.6617
MEM 200.050781 1576605103.7678
MEM 200.050781 1576605103.8738
MEM 200.050781 1576605103.9793
MEM 200.050781 1576605104.0945
MEM 200.050781 1576605104.2022
MEM 200.050781 1576605104.3073
MEM 200.050781 1576605104.4131
MEM 200.050781 1576605104.5183
MEM 200.050781 1576605104.6242
MEM 200.050781 1576605104.7294
MEM 207.558594 1576605104.8392
MEM 207.785156 1576605104.9441
MEM 202.105469 1576605105.0646
MEM 202.105469 1576605105.1773
MEM 202.105469 1576605105.2849
MEM 202.105469 1576605105.3913
MEM 202.105469 1576605105.4964
MEM 202.105469 1576605105.6029
MEM 202.105469 1576605105.7081
MEM 202.105469 1576605105.8133
MEM 202.105469 1576605105.9185
MEM 202.105469 1576605106.0247
MEM 205.882812 1576605106.1311
MEM 228.972656 1576605106.2408
MEM 205.433594 1576605106.3505
MEM 202.683594 1576605106.4803
MEM 202.683594 1576605106.6040
MEM 202.683594 1576605106.7426
MEM 202.683594 1576605106.8523
MEM 202.683594 1576605106.9582
MEM 202.683594 1576605107.0650
MEM 202.683594 1576605107.1711
MEM 202.683594 1576605107.2768
MEM 202.683594 1576605107.3825
MEM 202.683594 1576605107.4898
MEM 207.914062 1576605107.5950
MEM 205.437500 1576605107.7047
MEM 202.687500 1576605107.8192
MEM 202.687500 1576605107.9259
MEM 202.687500 1576605108.0322
MEM 202.687500 1576605108.1409
MEM 202.687500 1576605108.2472
MEM 202.687500 1576605108.3578
MEM 202.687500 1576605108.4633
MEM 202.687500 1576605108.5710
MEM 202.687500 1576605108.6769
MEM 209.117188 1576605108.7857
MEM 218.328125 1576605108.8986
MEM 205.468750 1576605109.0123
MEM 202.718750 1576605109.1320
MEM 202.718750 1576605109.2547
MEM 202.718750 1576605109.3614
MEM 202.722656 1576605109.4683
MEM 202.722656 1576605109.5754
MEM 202.722656 1576605109.6806
MEM 202.722656 1576605109.7866
MEM 202.722656 1576605109.8927
MEM 227.796875 1576605110.0013
MEM 205.472656 1576605110.1091
MEM 202.722656 1576605110.2266
MEM 202.722656 1576605110.3453
MEM 202.722656 1576605110.4514
MEM 202.722656 1576605110.5588
MEM 202.722656 1576605110.6648
MEM 202.722656 1576605110.7736
MEM 202.722656 1576605110.8793
MEM 202.722656 1576605110.9864
MEM 202.722656 1576605111.0915
MEM 202.722656 1576605111.1966
MEM 202.722656 1576605111.3020
MEM 202.722656 1576605111.4141
MEM 202.722656 1576605111.5228
MEM 202.722656 1576605111.6395
MEM 202.722656 1576605111.7462
MEM 202.722656 1576605111.8539
MEM 202.722656 1576605111.9629
MEM 202.722656 1576605112.0689
MEM 202.722656 1576605112.1755
MEM 202.722656 1576605112.2832
MEM 202.722656 1576605112.3886
MEM 202.722656 1576605112.4938
