CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.078125 1576604171.2705
MEM 9.332031 1576604171.3812
MEM 14.546875 1576604171.4932
MEM 20.742188 1576604171.6009
MEM 27.890625 1576604171.7061
MEM 34.750000 1576604171.8128
MEM 38.621094 1576604171.9191
MEM 39.515625 1576604172.0268
MEM 39.515625 1576604172.1345
MEM 44.800781 1576604172.2398
MEM 71.375000 1576604172.3477
MEM 76.230469 1576604172.4581
MEM 77.539062 1576604172.5656
MEM 84.406250 1576604172.6736
MEM 92.968750 1576604172.7809
MEM 99.531250 1576604172.8871
MEM 104.828125 1576604172.9948
MEM 111.441406 1576604173.1025
MEM 118.984375 1576604173.2083
MEM 123.015625 1576604173.3170
MEM 126.582031 1576604173.4258
MEM 130.984375 1576604173.5345
MEM 133.390625 1576604173.6472
MEM 134.582031 1576604173.7619
MEM 135.628906 1576604173.8716
MEM 137.167969 1576604173.9863
MEM 139.902344 1576604174.0930
MEM 145.394531 1576604174.2007
MEM 148.355469 1576604174.3084
MEM 149.070312 1576604174.4161
MEM 151.339844 1576604174.5231
MEM 151.691406 1576604174.6288
MEM 165.980469 1576604174.7365
MEM 171.238281 1576604174.8422
MEM 173.683594 1576604174.9492
MEM 174.515625 1576604175.0559
MEM 177.375000 1576604175.1626
MEM 181.988281 1576604175.2712
MEM 186.910156 1576604175.3779
MEM 190.613281 1576604175.4846
MEM 192.792969 1576604175.5913
MEM 195.199219 1576604175.7000
MEM 200.523438 1576604175.8079
MEM 200.523438 1576604175.9130
MEM 200.523438 1576604176.0194
MEM 200.523438 1576604176.1356
MEM 200.523438 1576604176.2444
MEM 200.523438 1576604176.3513
MEM 200.523438 1576604176.4566
MEM 200.523438 1576604176.5620
MEM 200.523438 1576604176.6681
MEM 200.523438 1576604176.7734
MEM 200.523438 1576604176.8785
MEM 200.523438 1576604176.9857
MEM 200.523438 1576604177.0907
MEM 200.523438 1576604177.1969
MEM 200.523438 1576604177.3034
MEM 200.523438 1576604177.4097
MEM 200.523438 1576604177.5168
MEM 200.523438 1576604177.6229
MEM 200.523438 1576604177.7289
MEM 200.523438 1576604177.8350
MEM 200.523438 1576604177.9409
MEM 200.523438 1576604178.0460
MEM 200.523438 1576604178.1521
MEM 200.523438 1576604178.2573
MEM 200.523438 1576604178.3690
MEM 200.523438 1576604178.4770
MEM 200.523438 1576604178.5820
MEM 200.523438 1576604178.6877
MEM 200.523438 1576604178.7927
MEM 200.523438 1576604178.8983
MEM 200.523438 1576604179.0045
MEM 200.523438 1576604179.1103
MEM 200.523438 1576604179.2155
MEM 200.523438 1576604179.3206
MEM 200.523438 1576604179.4258
MEM 208.644531 1576604179.5324
MEM 226.613281 1576604179.6401
MEM 205.300781 1576604179.7461
MEM 228.937500 1576604179.8539
MEM 204.023438 1576604179.9638
MEM 207.882812 1576604180.0735
MEM 205.402344 1576604180.1822
MEM 206.761719 1576604180.2919
MEM 226.769531 1576604180.4006
MEM 205.402344 1576604180.5095
MEM 207.253906 1576604180.6292
MEM 208.136719 1576604180.7419
MEM 216.171875 1576604180.8536
MEM 203.093750 1576604180.9625
MEM 229.382812 1576604181.0713
MEM 205.886719 1576604181.1770
MEM 209.839844 1576604181.2867
MEM 229.691406 1576604181.3934
MEM 206.902344 1576604181.5003
MEM 208.886719 1576604181.6080
MEM 204.781250 1576604181.7177
MEM 219.539062 1576604181.8244
MEM 203.414062 1576604181.9331
MEM 208.644531 1576604182.0419
MEM 206.164062 1576604182.1485
MEM 203.414062 1576604182.2560
MEM 203.414062 1576604182.3614
MEM 203.414062 1576604182.4684
MEM 203.414062 1576604182.5738
MEM 203.414062 1576604182.6789
MEM 203.414062 1576604182.7841
MEM 203.414062 1576604182.8891
MEM 203.414062 1576604182.9980
MEM 203.414062 1576604183.1067
MEM 203.414062 1576604183.2136
MEM 203.414062 1576604183.3201
MEM 203.414062 1576604183.4251
MEM 203.414062 1576604183.5324
MEM 203.414062 1576604183.6376
