CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.078125 1576603898.1906
MEM 12.625000 1576603898.2983
MEM 19.363281 1576603898.4080
MEM 25.765625 1576603898.5159
MEM 32.039062 1576603898.6249
MEM 38.496094 1576603898.7318
MEM 39.484375 1576603898.8452
MEM 39.484375 1576603898.9529
MEM 42.445312 1576603899.0612
MEM 51.917969 1576603899.1672
MEM 53.570312 1576603899.2806
MEM 63.660156 1576603899.4033
MEM 71.218750 1576603899.5210
MEM 72.128906 1576603899.6367
MEM 74.183594 1576603899.7484
MEM 76.488281 1576603899.8631
MEM 76.492188 1576603899.9788
MEM 76.554688 1576603900.0895
MEM 77.671875 1576603900.1959
MEM 80.519531 1576603900.3023
MEM 88.066406 1576603900.4129
MEM 93.066406 1576603900.5221
MEM 96.691406 1576603900.6300
MEM 102.667969 1576603900.7360
MEM 105.902344 1576603900.8438
MEM 110.730469 1576603900.9498
MEM 114.683594 1576603901.0575
MEM 116.238281 1576603901.1651
MEM 117.246094 1576603901.2719
MEM 118.042969 1576603901.3783
MEM 121.648438 1576603901.4853
MEM 123.949219 1576603901.5932
MEM 125.265625 1576603901.6993
MEM 127.406250 1576603901.8171
MEM 128.175781 1576603901.9298
MEM 129.843750 1576603902.0377
MEM 132.238281 1576603902.1442
MEM 136.429688 1576603902.2519
MEM 139.519531 1576603902.3604
MEM 143.417969 1576603902.4763
MEM 144.679688 1576603902.5847
MEM 146.199219 1576603902.6930
MEM 147.324219 1576603902.8007
MEM 147.882812 1576603902.9117
MEM 148.589844 1576603903.0234
MEM 150.437500 1576603903.1294
MEM 150.980469 1576603903.2413
MEM 151.292969 1576603903.3488
MEM 151.648438 1576603903.4586
MEM 151.980469 1576603903.6083
MEM 152.601562 1576603903.7221
MEM 153.156250 1576603903.8478
MEM 164.261719 1576603903.9596
MEM 167.148438 1576603904.0769
MEM 170.425781 1576603904.1918
MEM 170.898438 1576603904.3025
MEM 172.324219 1576603904.4122
MEM 173.492188 1576603904.5250
MEM 173.886719 1576603904.6317
MEM 175.484375 1576603904.7395
MEM 178.355469 1576603904.8462
MEM 182.371094 1576603904.9579
MEM 187.917969 1576603905.0656
MEM 192.351562 1576603905.1736
MEM 194.523438 1576603905.2822
MEM 202.132812 1576603905.3902
MEM 200.519531 1576603905.4963
MEM 200.519531 1576603905.6054
MEM 200.519531 1576603905.7114
MEM 200.519531 1576603905.8196
MEM 200.519531 1576603905.9263
MEM 200.519531 1576603906.0326
MEM 200.519531 1576603906.1386
MEM 200.519531 1576603906.2447
MEM 200.519531 1576603906.3509
MEM 200.519531 1576603906.4632
MEM 200.519531 1576603906.5713
MEM 200.519531 1576603906.6774
MEM 200.519531 1576603906.7836
MEM 200.519531 1576603906.8897
MEM 200.519531 1576603906.9959
MEM 200.519531 1576603907.1020
MEM 200.519531 1576603907.2081
MEM 200.519531 1576603907.3143
MEM 200.519531 1576603907.4205
MEM 200.531250 1576603907.5265
MEM 200.531250 1576603907.6329
MEM 200.531250 1576603907.7391
MEM 200.531250 1576603907.8454
MEM 200.531250 1576603907.9516
MEM 200.531250 1576603908.0584
MEM 200.531250 1576603908.1698
MEM 210.308594 1576603908.2795
MEM 217.097656 1576603908.3902
MEM 222.828125 1576603908.4999
MEM 228.003906 1576603908.6116
MEM 229.441406 1576603908.7286
MEM 231.292969 1576603908.8393
MEM 234.066406 1576603908.9579
MEM 238.816406 1576603909.0676
MEM 241.386719 1576603909.1742
MEM 241.394531 1576603909.2806
MEM 241.394531 1576603909.3935
MEM 241.394531 1576603909.5018
MEM 241.394531 1576603909.6079
MEM 241.394531 1576603909.7141
MEM 241.394531 1576603909.8232
MEM 241.394531 1576603909.9293
MEM 241.394531 1576603910.0374
MEM 241.394531 1576603910.1437
MEM 241.394531 1576603910.2637
MEM 241.394531 1576603910.3717
MEM 241.394531 1576603910.4795
MEM 241.394531 1576603910.5873
MEM 241.394531 1576603910.6933
MEM 241.394531 1576603910.7995
MEM 241.394531 1576603910.9059
MEM 241.394531 1576603911.0232
MEM 241.394531 1576603911.1339
MEM 241.394531 1576603911.2436
MEM 241.394531 1576603911.3502
MEM 241.394531 1576603911.4591
MEM 241.394531 1576603911.5660
MEM 241.394531 1576603911.6740
MEM 241.457031 1576603911.7812
MEM 241.457031 1576603911.8902
MEM 241.457031 1576603911.9964
MEM 241.457031 1576603912.1059
MEM 241.457031 1576603912.2147
MEM 241.457031 1576603912.3258
MEM 241.457031 1576603912.4319
MEM 241.457031 1576603912.5418
MEM 241.457031 1576603912.6523
MEM 241.457031 1576603912.7630
MEM 241.457031 1576603912.8747
MEM 241.457031 1576603912.9844
MEM 241.457031 1576603913.0931
MEM 241.457031 1576603913.1992
MEM 241.457031 1576603913.3113
MEM 241.457031 1576603913.4231
MEM 241.457031 1576603913.5352
MEM 241.457031 1576603913.6412
MEM 241.457031 1576603913.7479
MEM 241.457031 1576603913.8549
MEM 200.699219 1576603913.9624
MEM 209.199219 1576603914.0709
MEM 229.191406 1576603914.1774
MEM 204.691406 1576603914.2854
MEM 207.828125 1576603914.3920
MEM 212.441406 1576603914.5029
