CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.480469 1576609032.2337
MEM 15.488281 1576609032.3414
MEM 22.964844 1576609032.4490
MEM 29.031250 1576609032.5545
MEM 35.218750 1576609032.6618
MEM 39.535156 1576609032.7686
MEM 39.535156 1576609032.8753
MEM 39.535156 1576609032.9850
MEM 44.644531 1576609033.0921
MEM 68.800781 1576609033.2017
MEM 76.781250 1576609033.3074
MEM 78.992188 1576609033.4185
MEM 80.691406 1576609033.5302
MEM 82.671875 1576609033.6399
MEM 90.132812 1576609033.7466
MEM 95.960938 1576609033.8544
MEM 102.492188 1576609033.9622
MEM 106.296875 1576609034.0698
MEM 112.421875 1576609034.1772
MEM 119.886719 1576609034.2842
MEM 124.468750 1576609034.3910
MEM 130.765625 1576609034.4977
MEM 136.855469 1576609034.6053
MEM 140.019531 1576609034.7140
MEM 144.933594 1576609034.8227
MEM 146.441406 1576609034.9354
MEM 148.007812 1576609035.0483
MEM 148.328125 1576609035.1550
MEM 150.445312 1576609035.2625
MEM 151.105469 1576609035.3702
MEM 155.398438 1576609035.4809
MEM 169.554688 1576609035.5888
MEM 171.867188 1576609035.6955
MEM 173.335938 1576609035.8092
MEM 173.726562 1576609035.9199
MEM 174.332031 1576609036.0298
MEM 175.316406 1576609036.1365
MEM 178.292969 1576609036.2423
MEM 182.183594 1576609036.3480
MEM 187.687500 1576609036.4537
MEM 191.937500 1576609036.5597
MEM 193.968750 1576609036.6664
MEM 200.378906 1576609036.7731
MEM 200.378906 1576609036.8783
MEM 200.378906 1576609036.9843
MEM 200.378906 1576609037.0894
MEM 200.378906 1576609037.1948
MEM 200.378906 1576609037.2999
MEM 200.378906 1576609037.4061
MEM 200.378906 1576609037.5136
MEM 200.378906 1576609037.6198
MEM 200.378906 1576609037.7275
MEM 200.378906 1576609037.8326
MEM 200.378906 1576609037.9399
MEM 200.378906 1576609038.0472
MEM 200.378906 1576609038.1667
MEM 200.378906 1576609038.2784
MEM 200.378906 1576609038.3835
MEM 200.378906 1576609038.4898
MEM 200.378906 1576609038.5949
MEM 200.378906 1576609038.7000
MEM 200.378906 1576609038.8057
MEM 200.378906 1576609038.9110
MEM 200.378906 1576609039.0237
MEM 200.378906 1576609039.1288
MEM 208.531250 1576609039.2357
MEM 224.460938 1576609039.3444
MEM 204.343750 1576609039.4561
MEM 207.152344 1576609039.5651
MEM 212.781250 1576609039.6748
MEM 214.714844 1576609039.7915
MEM 214.679688 1576609039.9082
MEM 214.828125 1576609040.0180
MEM 214.828125 1576609040.1260
MEM 214.828125 1576609040.2322
MEM 214.828125 1576609040.3398
MEM 214.828125 1576609040.4518
MEM 214.828125 1576609040.5607
MEM 221.687500 1576609040.6704
MEM 227.222656 1576609040.7781
MEM 216.390625 1576609040.8888
MEM 217.269531 1576609040.9998
MEM 217.714844 1576609041.1195
MEM 217.855469 1576609041.2342
MEM 217.855469 1576609041.3419
MEM 217.855469 1576609041.4476
MEM 217.855469 1576609041.5526
MEM 217.855469 1576609041.6589
MEM 217.855469 1576609041.7640
MEM 222.515625 1576609041.8705
MEM 224.167969 1576609041.9782
MEM 219.007812 1576609042.0860
MEM 219.554688 1576609042.1967
MEM 219.679688 1576609042.3084
MEM 220.031250 1576609042.4281
MEM 220.183594 1576609042.5348
MEM 220.183594 1576609042.6438
MEM 220.183594 1576609042.7595
MEM 220.183594 1576609042.8672
MEM 220.183594 1576609042.9741
MEM 221.175781 1576609043.0828
MEM 226.886719 1576609043.1911
MEM 223.742188 1576609043.2997
MEM 221.503906 1576609043.4095
MEM 221.988281 1576609043.5194
MEM 222.332031 1576609043.6331
MEM 222.332031 1576609043.7438
MEM 222.332031 1576609043.8487
MEM 222.332031 1576609043.9550
MEM 222.332031 1576609044.0609
MEM 222.332031 1576609044.1660
MEM 223.707031 1576609044.2777
MEM 229.031250 1576609044.3864
MEM 225.890625 1576609044.4951
MEM 223.578125 1576609044.6070
MEM 224.605469 1576609044.7157
MEM 225.421875 1576609044.8254
MEM 225.660156 1576609044.9431
MEM 225.789062 1576609045.0668
MEM 225.789062 1576609045.1845
MEM 225.789062 1576609045.3002
MEM 225.789062 1576609045.4099
MEM 225.789062 1576609045.5149
MEM 225.789062 1576609045.6251
MEM 230.582031 1576609045.7318
MEM 229.390625 1576609045.8405
MEM 227.207031 1576609045.9503
MEM 227.480469 1576609046.0613
MEM 227.714844 1576609046.1720
MEM 227.796875 1576609046.2987
MEM 227.796875 1576609046.4050
MEM 227.796875 1576609046.5104
MEM 227.796875 1576609046.6163
MEM 227.796875 1576609046.7225
MEM 227.796875 1576609046.8281
MEM 249.062500 1576609046.9341
MEM 232.738281 1576609047.0430
MEM 229.253906 1576609047.1507
MEM 229.996094 1576609047.2624
MEM 230.679688 1576609047.3771
MEM 230.816406 1576609047.5077
MEM 230.808594 1576609047.6194
MEM 230.808594 1576609047.7272
MEM 230.808594 1576609047.8325
MEM 230.808594 1576609047.9386
MEM 231.964844 1576609048.0501
MEM 237.523438 1576609048.1588
MEM 234.382812 1576609048.2655
MEM 232.371094 1576609048.3759
MEM 232.875000 1576609048.4856
MEM 233.109375 1576609048.6083
MEM 233.093750 1576609048.7180
MEM 233.093750 1576609048.8241
MEM 233.093750 1576609048.9293
MEM 233.093750 1576609049.0356
MEM 233.093750 1576609049.1427
MEM 233.093750 1576609049.2549
MEM 251.890625 1576609049.3616
MEM 236.761719 1576609049.4693
MEM 234.722656 1576609049.5778
MEM 234.992188 1576609049.6875
MEM 235.386719 1576609049.8102
MEM 235.519531 1576609049.9288
MEM 235.523438 1576609050.0445
MEM 235.523438 1576609050.1542
MEM 235.523438 1576609050.2600
MEM 235.523438 1576609050.3652
MEM 242.757812 1576609050.4724
MEM 261.531250 1576609050.5797
MEM 236.703125 1576609050.6882
MEM 237.402344 1576609050.7960
MEM 238.019531 1576609050.9126
MEM 238.164062 1576609051.0303
MEM 238.160156 1576609051.1364
MEM 238.160156 1576609051.2428
MEM 238.160156 1576609051.3495
MEM 238.160156 1576609051.4594
MEM 239.535156 1576609051.5682
MEM 249.187500 1576609051.6769
MEM 239.105469 1576609051.7836
MEM 239.671875 1576609051.8953
MEM 240.515625 1576609052.0060
MEM 240.769531 1576609052.1159
MEM 240.761719 1576609052.2306
MEM 240.761719 1576609052.3433
MEM 240.761719 1576609052.4520
MEM 240.761719 1576609052.5586
MEM 240.761719 1576609052.6645
MEM 247.691406 1576609052.7722
MEM 250.484375 1576609052.8779
MEM 242.242188 1576609052.9855
MEM 242.710938 1576609053.0984
MEM 243.003906 1576609053.2151
MEM 242.988281 1576609053.3278
MEM 242.976562 1576609053.4345
MEM 242.976562 1576609053.5411
MEM 242.976562 1576609053.6461
MEM 242.976562 1576609053.7520
MEM 242.976562 1576609053.8589
MEM 242.976562 1576609053.9677
MEM 248.832031 1576609054.0764
MEM 246.351562 1576609054.1861
MEM 244.351562 1576609054.2999
MEM 245.203125 1576609054.4116
MEM 245.472656 1576609054.5402
MEM 245.597656 1576609054.6609
MEM 245.507812 1576609054.7766
MEM 245.511719 1576609054.8863
MEM 245.511719 1576609054.9923
MEM 245.511719 1576609055.0975
MEM 252.722656 1576609055.2062
MEM 272.578125 1576609055.3129
MEM 246.937500 1576609055.4215
MEM 246.937500 1576609055.5315
MEM 247.554688 1576609055.6432
MEM 247.570312 1576609055.7609
MEM 247.609375 1576609055.8766
MEM 247.605469 1576609055.9819
MEM 247.605469 1576609056.0910
MEM 247.605469 1576609056.1961
MEM 247.605469 1576609056.3020
MEM 250.355469 1576609056.4122
MEM 253.324219 1576609056.5192
MEM 248.574219 1576609056.6275
MEM 248.984375 1576609056.7361
MEM 249.523438 1576609056.8478
MEM 249.742188 1576609056.9655
MEM 249.734375 1576609057.0941
MEM 249.718750 1576609057.2118
MEM 249.718750 1576609057.3195
MEM 249.718750 1576609057.4255
MEM 249.718750 1576609057.5313
MEM 256.929688 1576609057.6388
MEM 276.785156 1576609057.7455
MEM 250.988281 1576609057.8544
