CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.382812 1576604349.0552
MEM 15.332031 1576604349.1627
MEM 23.003906 1576604349.2685
MEM 28.988281 1576604349.3762
MEM 36.671875 1576604349.4839
MEM 39.609375 1576604349.5897
MEM 39.628906 1576604349.6984
MEM 39.644531 1576604349.8051
MEM 46.257812 1576604349.9113
MEM 72.300781 1576604350.0190
MEM 76.351562 1576604350.1330
MEM 76.437500 1576604350.2427
MEM 79.113281 1576604350.3494
MEM 87.171875 1576604350.4561
MEM 94.460938 1576604350.5628
MEM 102.011719 1576604350.6695
MEM 106.386719 1576604350.7762
MEM 112.761719 1576604350.8820
MEM 119.601562 1576604350.9897
MEM 123.769531 1576604351.0964
MEM 127.664062 1576604351.2061
MEM 133.035156 1576604351.3168
MEM 135.929688 1576604351.4275
MEM 139.378906 1576604351.5362
MEM 140.132812 1576604351.6456
MEM 144.812500 1576604351.7524
MEM 147.820312 1576604351.8631
MEM 148.218750 1576604351.9738
MEM 148.816406 1576604352.0815
MEM 150.800781 1576604352.1892
MEM 151.246094 1576604352.2969
MEM 151.687500 1576604352.4106
MEM 151.746094 1576604352.5213
MEM 163.140625 1576604352.6460
MEM 166.277344 1576604352.7547
MEM 171.242188 1576604352.8604
MEM 173.324219 1576604352.9662
MEM 174.539062 1576604353.0749
MEM 175.785156 1576604353.1807
MEM 179.769531 1576604353.2885
MEM 185.765625 1576604353.3939
MEM 188.656250 1576604353.4996
MEM 192.578125 1576604353.6063
MEM 195.480469 1576604353.7123
MEM 200.421875 1576604353.8174
MEM 208.648438 1576604353.9260
MEM 217.750000 1576604354.0337
MEM 204.554688 1576604354.1426
MEM 211.675781 1576604354.2500
MEM 213.769531 1576604354.3597
MEM 215.960938 1576604354.4694
MEM 217.722656 1576604354.5791
MEM 219.988281 1576604354.6890
MEM 220.652344 1576604354.8027
MEM 221.140625 1576604354.9144
MEM 221.191406 1576604355.0281
MEM 221.191406 1576604355.1349
MEM 221.191406 1576604355.2418
MEM 221.191406 1576604355.3480
MEM 221.191406 1576604355.4544
MEM 221.191406 1576604355.5593
MEM 221.191406 1576604355.6645
MEM 221.191406 1576604355.7707
MEM 221.191406 1576604355.8764
MEM 221.191406 1576604355.9816
MEM 221.191406 1576604356.0886
MEM 221.191406 1576604356.1955
MEM 228.437500 1576604356.3040
MEM 225.292969 1576604356.4124
MEM 222.031250 1576604356.5221
MEM 222.164062 1576604356.6300
MEM 222.539062 1576604356.7417
MEM 224.109375 1576604356.8504
MEM 224.839844 1576604356.9621
MEM 225.933594 1576604357.0719
MEM 227.476562 1576604357.1878
MEM 227.660156 1576604357.3085
MEM 227.660156 1576604357.4421
MEM 227.660156 1576604357.5488
MEM 227.660156 1576604357.6562
MEM 227.660156 1576604357.7613
MEM 227.660156 1576604357.8668
MEM 227.660156 1576604357.9730
MEM 227.660156 1576604358.0794
MEM 227.660156 1576604358.1845
MEM 227.660156 1576604358.2896
MEM 227.660156 1576604358.3948
MEM 228.046875 1576604358.5067
MEM 234.472656 1576604358.6135
MEM 231.425781 1576604358.7219
MEM 229.394531 1576604358.8300
MEM 229.847656 1576604358.9407
MEM 230.800781 1576604359.0524
MEM 232.558594 1576604359.1623
MEM 233.410156 1576604359.2750
MEM 233.953125 1576604359.3848
MEM 234.101562 1576604359.5124
MEM 234.101562 1576604359.6233
MEM 234.101562 1576604359.7332
MEM 234.101562 1576604359.8419
MEM 234.101562 1576604359.9475
MEM 234.101562 1576604360.0538
MEM 234.101562 1576604360.1590
MEM 235.503906 1576604360.2663
MEM 255.656250 1576604360.3750
MEM 235.074219 1576604360.4811
MEM 235.808594 1576604360.5919
MEM 236.175781 1576604360.6998
MEM 237.175781 1576604360.8105
MEM 238.539062 1576604360.9212
MEM 239.199219 1576604361.0319
MEM 239.496094 1576604361.1466
MEM 239.496094 1576604361.2534
MEM 239.496094 1576604361.3595
MEM 239.496094 1576604361.4656
MEM 239.496094 1576604361.5717
MEM 239.496094 1576604361.6769
MEM 239.496094 1576604361.7818
MEM 239.496094 1576604361.8994
MEM 246.058594 1576604362.0151
MEM 266.300781 1576604362.1268
MEM 240.386719 1576604362.2336
MEM 241.332031 1576604362.3434
MEM 242.328125 1576604362.4521
MEM 243.390625 1576604362.5608
MEM 244.460938 1576604362.6698
MEM 245.019531 1576604362.7855
MEM 245.363281 1576604362.9052
MEM 245.363281 1576604363.0109
MEM 245.363281 1576604363.1187
MEM 245.363281 1576604363.2239
MEM 245.363281 1576604363.3290
MEM 245.363281 1576604363.4351
MEM 245.363281 1576604363.5401
MEM 246.777344 1576604363.6473
MEM 266.070312 1576604363.7580
MEM 246.328125 1576604363.8634
MEM 247.164062 1576604363.9730
MEM 247.953125 1576604364.0827
MEM 248.800781 1576604364.1984
MEM 249.171875 1576604364.3161
MEM 249.394531 1576604364.4268
MEM 249.722656 1576604364.5415
MEM 250.429688 1576604364.6622
MEM 250.566406 1576604364.7749
MEM 250.570312 1576604364.8799
MEM 250.570312 1576604364.9874
MEM 250.570312 1576604365.0932
MEM 250.570312 1576604365.1983
MEM 250.570312 1576604365.3073
MEM 250.570312 1576604365.4140
MEM 250.570312 1576604365.5227
MEM 250.570312 1576604365.6344
MEM 250.570312 1576604365.7441
MEM 250.570312 1576604365.8539
MEM 250.570312 1576604365.9591
MEM 250.570312 1576604366.0659
