CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.441406 1576604405.1608
MEM 15.261719 1576604405.2685
MEM 22.945312 1576604405.3752
MEM 29.226562 1576604405.4822
MEM 36.300781 1576604405.5879
MEM 39.472656 1576604405.6938
MEM 39.496094 1576604405.8015
MEM 39.496094 1576604405.9092
MEM 45.132812 1576604406.0169
MEM 71.406250 1576604406.1245
MEM 76.445312 1576604406.2304
MEM 80.195312 1576604406.3381
MEM 89.957031 1576604406.4458
MEM 96.128906 1576604406.5528
MEM 102.703125 1576604406.6611
MEM 107.582031 1576604406.7671
MEM 111.500000 1576604406.8810
MEM 114.058594 1576604406.9907
MEM 119.140625 1576604407.1024
MEM 121.996094 1576604407.2113
MEM 124.414062 1576604407.3220
MEM 127.492188 1576604407.4317
MEM 131.867188 1576604407.5484
MEM 135.582031 1576604407.6571
MEM 139.863281 1576604407.7638
MEM 145.500000 1576604407.8712
MEM 147.894531 1576604407.9770
MEM 148.558594 1576604408.0847
MEM 150.589844 1576604408.1916
MEM 151.457031 1576604408.2983
MEM 165.449219 1576604408.4080
MEM 170.996094 1576604408.5137
MEM 173.578125 1576604408.6194
MEM 174.433594 1576604408.7273
MEM 176.980469 1576604408.8330
MEM 181.746094 1576604408.9408
MEM 187.214844 1576604409.0471
MEM 189.984375 1576604409.1588
MEM 191.484375 1576604409.2737
MEM 192.257812 1576604409.3825
MEM 194.941406 1576604409.4902
MEM 200.613281 1576604409.5984
MEM 200.613281 1576604409.7052
MEM 200.613281 1576604409.8127
MEM 200.613281 1576604409.9178
MEM 200.613281 1576604410.0242
MEM 200.613281 1576604410.1312
MEM 200.613281 1576604410.2363
MEM 200.613281 1576604410.3434
MEM 200.613281 1576604410.4486
MEM 200.613281 1576604410.5541
MEM 200.613281 1576604410.6602
MEM 200.613281 1576604410.7653
MEM 200.613281 1576604410.8704
MEM 200.613281 1576604410.9758
MEM 200.613281 1576604411.0808
MEM 200.613281 1576604411.1859
MEM 200.613281 1576604411.2910
MEM 200.613281 1576604411.3961
MEM 200.613281 1576604411.5058
MEM 200.613281 1576604411.6135
MEM 200.613281 1576604411.7186
MEM 200.613281 1576604411.8238
MEM 200.613281 1576604411.9290
MEM 200.613281 1576604412.0341
MEM 200.613281 1576604412.1393
MEM 200.613281 1576604412.2444
MEM 200.613281 1576604412.3494
MEM 200.613281 1576604412.4546
MEM 200.613281 1576604412.5603
MEM 200.613281 1576604412.6655
MEM 200.613281 1576604412.7709
MEM 200.613281 1576604412.8766
MEM 200.613281 1576604412.9816
MEM 200.613281 1576604413.0872
MEM 200.613281 1576604413.1926
MEM 202.105469 1576604413.2996
MEM 207.898438 1576604413.4073
MEM 202.761719 1576604413.5145
MEM 207.671875 1576604413.6228
MEM 207.718750 1576604413.7357
MEM 211.941406 1576604413.8454
MEM 213.503906 1576604413.9551
MEM 214.996094 1576604414.0638
MEM 217.750000 1576604414.1735
MEM 218.843750 1576604414.2825
MEM 220.234375 1576604414.3912
MEM 221.121094 1576604414.5019
MEM 228.398438 1576604414.6096
MEM 226.960938 1576604414.7176
MEM 222.308594 1576604414.8250
MEM 223.953125 1576604414.9347
MEM 225.523438 1576604415.0464
MEM 227.003906 1576604415.1561
MEM 227.746094 1576604415.2650
MEM 229.218750 1576604415.3747
MEM 233.679688 1576604415.4844
MEM 235.109375 1576604415.5911
MEM 229.582031 1576604415.7006
MEM 230.320312 1576604415.8113
MEM 231.097656 1576604415.9210
MEM 231.914062 1576604416.0317
MEM 232.695312 1576604416.1404
MEM 233.121094 1576604416.2503
MEM 233.828125 1576604416.3600
MEM 261.000000 1576604416.4687
MEM 261.039062 1576604416.5754
MEM 235.433594 1576604416.6832
MEM 235.937500 1576604416.7912
MEM 236.945312 1576604416.9029
MEM 237.921875 1576604417.0146
MEM 238.855469 1576604417.1253
MEM 242.191406 1576604417.2350
MEM 245.589844 1576604417.3427
MEM 243.156250 1576604417.4514
MEM 240.964844 1576604417.5631
MEM 242.011719 1576604417.6738
MEM 242.921875 1576604417.7827
MEM 244.312500 1576604417.8944
MEM 245.003906 1576604418.0042
MEM 247.820312 1576604418.1149
MEM 251.875000 1576604418.2208
MEM 250.113281 1576604418.3335
MEM 246.281250 1576604418.4432
MEM 246.644531 1576604418.5569
MEM 246.972656 1576604418.6656
MEM 248.511719 1576604418.7765
MEM 249.046875 1576604418.8882
MEM 249.164062 1576604418.9969
MEM 249.917969 1576604419.1046
MEM 251.648438 1576604419.2173
MEM 256.562500 1576604419.3251
MEM 254.089844 1576604419.4322
MEM 251.773438 1576604419.5387
MEM 252.085938 1576604419.6634
MEM 252.566406 1576604419.7701
MEM 253.500000 1576604419.8808
MEM 254.734375 1576604419.9895
MEM 255.324219 1576604420.0992
MEM 257.343750 1576604420.2099
MEM 283.132812 1576604420.3206
MEM 278.527344 1576604420.4303
MEM 257.234375 1576604420.5381
MEM 257.671875 1576604420.6547
MEM 258.058594 1576604420.7684
MEM 258.417969 1576604420.8861
MEM 258.812500 1576604420.9969
MEM 259.593750 1576604421.1056
MEM 260.644531 1576604421.2165
MEM 262.425781 1576604421.3252
MEM 288.222656 1576604421.4319
MEM 288.261719 1576604421.5407
MEM 262.613281 1576604421.6491
MEM 263.042969 1576604421.7600
MEM 263.742188 1576604421.8697
MEM 265.152344 1576604421.9804
MEM 266.242188 1576604422.0911
MEM 271.148438 1576604422.2004
MEM 290.464844 1576604422.3083
MEM 267.964844 1576604422.4173
MEM 268.265625 1576604422.5270
MEM 268.824219 1576604422.6367
MEM 270.011719 1576604422.7466
MEM 270.644531 1576604422.8543
MEM 271.207031 1576604422.9641
MEM 271.933594 1576604423.0738
MEM 271.960938 1576604423.1984
MEM 271.960938 1576604423.3091
MEM 271.960938 1576604423.4188
MEM 271.960938 1576604423.5255
MEM 271.976562 1576604423.6352
MEM 271.976562 1576604423.7404
MEM 271.976562 1576604423.8457
MEM 271.976562 1576604423.9509
MEM 271.976562 1576604424.0587
MEM 271.976562 1576604424.1668
MEM 271.976562 1576604424.2741
MEM 271.976562 1576604424.3818
MEM 271.976562 1576604424.4925
MEM 271.976562 1576604424.5993
MEM 271.976562 1576604424.7050
MEM 271.976562 1576604424.8102
MEM 271.976562 1576604424.9153
MEM 271.976562 1576604425.0205
MEM 271.976562 1576604425.1256
MEM 271.976562 1576604425.2310
MEM 271.976562 1576604425.3364
MEM 271.976562 1576604425.4473
MEM 271.976562 1576604425.5570
MEM 271.976562 1576604425.6640
MEM 271.976562 1576604425.7691
MEM 271.976562 1576604425.8745
MEM 271.976562 1576604425.9806
MEM 271.976562 1576604426.0858
MEM 271.976562 1576604426.1909
MEM 271.976562 1576604426.2961
MEM 271.976562 1576604426.4015
MEM 271.976562 1576604426.5066
MEM 271.976562 1576604426.6119
MEM 271.976562 1576604426.7171
MEM 271.976562 1576604426.8221
MEM 271.976562 1576604426.9273
MEM 271.976562 1576604427.0325
MEM 271.976562 1576604427.1377
MEM 271.976562 1576604427.2431
MEM 271.976562 1576604427.3483
MEM 271.976562 1576604427.4534
MEM 271.976562 1576604427.5586
MEM 271.976562 1576604427.6708
MEM 271.976562 1576604427.7807
MEM 271.976562 1576604427.8858
MEM 271.976562 1576604427.9910
MEM 271.976562 1576604428.0961
MEM 271.976562 1576604428.2014
MEM 271.976562 1576604428.3068
MEM 271.976562 1576604428.4119
MEM 271.976562 1576604428.5171
MEM 271.976562 1576604428.6223
MEM 271.976562 1576604428.7275
MEM 271.976562 1576604428.8325
MEM 271.976562 1576604428.9377
MEM 271.976562 1576604429.0434
MEM 271.976562 1576604429.1486
MEM 271.976562 1576604429.2541
MEM 271.976562 1576604429.3592
MEM 271.976562 1576604429.4644
MEM 271.976562 1576604429.5702
MEM 271.976562 1576604429.6754
MEM 271.976562 1576604429.7816
MEM 271.976562 1576604429.8944
MEM 271.976562 1576604430.0061
MEM 271.976562 1576604430.1118
MEM 271.976562 1576604430.2176
MEM 271.976562 1576604430.3228
MEM 271.976562 1576604430.4280
MEM 271.976562 1576604430.5332
MEM 271.976562 1576604430.6383
MEM 271.976562 1576604430.7445
MEM 271.976562 1576604430.8497
MEM 271.976562 1576604430.9548
MEM 271.976562 1576604431.0599
MEM 271.976562 1576604431.1650
MEM 271.976562 1576604431.2700
MEM 271.976562 1576604431.3752
MEM 271.976562 1576604431.4802
MEM 271.976562 1576604431.5860
MEM 271.976562 1576604431.6922
MEM 271.976562 1576604431.7973
MEM 271.976562 1576604431.9025
MEM 271.976562 1576604432.0107
