CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.332031 1576608331.0337
MEM 14.652344 1576608331.1414
MEM 22.199219 1576608331.2481
MEM 28.851562 1576608331.3538
MEM 35.386719 1576608331.4596
MEM 39.667969 1576608331.5663
MEM 39.675781 1576608331.6730
MEM 39.675781 1576608331.7867
MEM 39.675781 1576608331.8994
MEM 43.269531 1576608332.0081
MEM 51.964844 1576608332.1168
MEM 74.191406 1576608332.2235
MEM 76.449219 1576608332.3292
MEM 81.156250 1576608332.4363
MEM 90.453125 1576608332.5433
MEM 94.437500 1576608332.6520
MEM 101.648438 1576608332.7597
MEM 106.546875 1576608332.8665
MEM 112.707031 1576608332.9742
MEM 119.269531 1576608333.0833
MEM 122.906250 1576608333.1900
MEM 126.394531 1576608333.2990
MEM 130.621094 1576608333.4097
MEM 134.410156 1576608333.5184
MEM 138.738281 1576608333.6281
MEM 144.792969 1576608333.7348
MEM 146.789062 1576608333.8437
MEM 148.468750 1576608333.9514
MEM 149.156250 1576608334.0641
MEM 150.777344 1576608334.1748
MEM 151.230469 1576608334.2837
MEM 151.609375 1576608334.3904
MEM 165.687500 1576608334.4981
MEM 170.910156 1576608334.6038
MEM 172.941406 1576608334.7116
MEM 174.097656 1576608334.8173
MEM 175.378906 1576608334.9250
MEM 177.769531 1576608335.0307
MEM 181.800781 1576608335.1374
MEM 187.292969 1576608335.2451
MEM 191.304688 1576608335.3518
MEM 192.484375 1576608335.4607
MEM 194.355469 1576608335.5664
MEM 200.250000 1576608335.6751
MEM 200.570312 1576608335.7822
MEM 200.570312 1576608335.8874
MEM 200.570312 1576608335.9960
MEM 200.570312 1576608336.1012
MEM 200.570312 1576608336.2073
MEM 200.570312 1576608336.3197
MEM 200.570312 1576608336.4334
MEM 200.570312 1576608336.5411
MEM 200.570312 1576608336.6463
MEM 200.570312 1576608336.7515
MEM 200.570312 1576608336.8570
MEM 200.570312 1576608336.9622
MEM 200.570312 1576608337.0680
MEM 200.570312 1576608337.1736
MEM 200.570312 1576608337.2788
MEM 200.570312 1576608337.3847
MEM 200.570312 1576608337.4899
MEM 208.792969 1576608337.5955
MEM 218.156250 1576608337.7032
MEM 204.765625 1576608337.8105
MEM 210.488281 1576608337.9192
MEM 213.664062 1576608338.0279
MEM 214.835938 1576608338.1605
MEM 214.835938 1576608338.2722
MEM 214.835938 1576608338.3777
MEM 214.835938 1576608338.4834
MEM 214.835938 1576608338.5948
MEM 214.835938 1576608338.7095
MEM 214.835938 1576608338.8177
MEM 214.835938 1576608338.9229
MEM 216.214844 1576608339.0323
MEM 220.988281 1576608339.1410
MEM 218.527344 1576608339.2479
MEM 216.996094 1576608339.3566
MEM 217.957031 1576608339.4673
MEM 218.136719 1576608339.5810
MEM 218.140625 1576608339.6937
MEM 218.140625 1576608339.7988
MEM 218.140625 1576608339.9058
MEM 218.140625 1576608340.0118
MEM 218.140625 1576608340.1169
MEM 218.140625 1576608340.2279
MEM 233.941406 1576608340.3376
MEM 223.894531 1576608340.4453
MEM 219.109375 1576608340.5550
MEM 219.691406 1576608340.6648
MEM 220.066406 1576608340.7747
MEM 220.269531 1576608340.8924
MEM 221.156250 1576608341.0060
MEM 221.312500 1576608341.1257
MEM 221.312500 1576608341.2454
MEM 221.312500 1576608341.3551
MEM 221.312500 1576608341.4608
MEM 221.312500 1576608341.5660
MEM 221.312500 1576608341.6721
MEM 221.312500 1576608341.7785
MEM 221.312500 1576608341.8836
MEM 221.312500 1576608341.9903
MEM 221.312500 1576608342.0954
MEM 221.312500 1576608342.2018
MEM 224.039062 1576608342.3128
MEM 248.378906 1576608342.4215
MEM 222.167969 1576608342.5282
MEM 222.714844 1576608342.6339
MEM 223.273438 1576608342.7536
MEM 223.285156 1576608342.8753
MEM 223.285156 1576608342.9940
MEM 223.285156 1576608343.0992
MEM 223.285156 1576608343.2083
MEM 223.285156 1576608343.3132
MEM 223.285156 1576608343.4197
MEM 223.285156 1576608343.5298
MEM 223.285156 1576608343.6385
MEM 226.039062 1576608343.7465
MEM 250.343750 1576608343.8542
MEM 224.238281 1576608343.9610
MEM 224.863281 1576608344.0713
MEM 225.328125 1576608344.1811
MEM 225.656250 1576608344.2997
MEM 225.656250 1576608344.4124
