CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.332031 1576604531.0657
MEM 15.371094 1576604531.1734
MEM 22.984375 1576604531.2811
MEM 29.519531 1576604531.3898
MEM 36.765625 1576604531.4964
MEM 39.820312 1576604531.6032
MEM 39.828125 1576604531.7119
MEM 39.828125 1576604531.8305
MEM 40.335938 1576604531.9403
MEM 45.226562 1576604532.0510
MEM 61.695312 1576604532.1587
MEM 74.863281 1576604532.2664
MEM 76.648438 1576604532.3761
MEM 80.054688 1576604532.4848
MEM 86.191406 1576604532.5965
MEM 92.429688 1576604532.7072
MEM 96.398438 1576604532.8159
MEM 103.222656 1576604532.9236
MEM 108.070312 1576604533.0323
MEM 116.488281 1576604533.1405
MEM 122.441406 1576604533.2472
MEM 127.234375 1576604533.3548
MEM 133.753906 1576604533.4628
MEM 139.234375 1576604533.5696
MEM 144.863281 1576604533.6803
MEM 147.351562 1576604533.7930
MEM 147.941406 1576604533.9039
MEM 148.574219 1576604534.0156
MEM 148.636719 1576604534.1313
MEM 148.730469 1576604534.2579
MEM 149.281250 1576604534.3718
MEM 150.890625 1576604534.4815
MEM 151.316406 1576604534.5903
MEM 153.750000 1576604534.7049
MEM 169.937500 1576604534.8112
MEM 172.207031 1576604534.9181
MEM 173.906250 1576604535.0248
MEM 175.523438 1576604535.1315
MEM 178.402344 1576604535.2382
MEM 182.546875 1576604535.3468
MEM 188.316406 1576604535.4555
MEM 192.496094 1576604535.5622
MEM 194.343750 1576604535.6689
MEM 200.664062 1576604535.7776
MEM 200.664062 1576604535.8838
MEM 200.664062 1576604535.9899
MEM 200.664062 1576604536.0961
MEM 200.664062 1576604536.2022
MEM 200.664062 1576604536.3084
MEM 200.664062 1576604536.4176
MEM 200.664062 1576604536.5251
MEM 200.664062 1576604536.6418
MEM 200.664062 1576604536.7525
MEM 200.664062 1576604536.8586
MEM 200.664062 1576604536.9657
MEM 200.664062 1576604537.0718
MEM 200.664062 1576604537.1782
MEM 200.664062 1576604537.2847
MEM 200.664062 1576604537.3909
MEM 200.664062 1576604537.4993
MEM 200.664062 1576604537.6055
MEM 200.664062 1576604537.7127
MEM 200.664062 1576604537.8194
MEM 200.664062 1576604537.9258
MEM 200.664062 1576604538.0320
MEM 200.664062 1576604538.1382
MEM 200.664062 1576604538.2443
MEM 200.664062 1576604538.3505
MEM 200.664062 1576604538.4566
MEM 200.664062 1576604538.5633
MEM 200.664062 1576604538.6706
MEM 200.664062 1576604538.7768
MEM 206.421875 1576604538.8926
MEM 207.617188 1576604539.0053
MEM 228.742188 1576604539.1180
MEM 205.527344 1576604539.2267
MEM 206.714844 1576604539.3356
MEM 204.160156 1576604539.4453
MEM 229.074219 1576604539.5520
