CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.128906 1576608830.1853
MEM 15.445312 1576608830.2916
MEM 22.664062 1576608830.3969
MEM 29.003906 1576608830.5028
MEM 35.042969 1576608830.6097
MEM 39.472656 1576608830.7176
MEM 39.472656 1576608830.8253
MEM 39.472656 1576608830.9318
MEM 45.558594 1576608831.0387
MEM 71.484375 1576608831.1444
MEM 76.511719 1576608831.2511
MEM 80.031250 1576608831.3579
MEM 88.550781 1576608831.4657
MEM 95.398438 1576608831.5718
MEM 99.574219 1576608831.6876
MEM 101.457031 1576608831.7963
MEM 104.304688 1576608831.9050
MEM 109.777344 1576608832.0127
MEM 116.570312 1576608832.1224
MEM 120.929688 1576608832.2301
MEM 123.585938 1576608832.3400
MEM 126.949219 1576608832.4497
MEM 130.136719 1576608832.5594
MEM 136.375000 1576608832.6662
MEM 141.894531 1576608832.7711
MEM 145.980469 1576608832.8779
MEM 147.917969 1576608832.9846
MEM 148.921875 1576608833.0923
MEM 151.003906 1576608833.2000
MEM 151.632812 1576608833.3060
MEM 165.757812 1576608833.4148
MEM 171.199219 1576608833.5205
MEM 173.449219 1576608833.6272
MEM 174.449219 1576608833.7329
MEM 176.875000 1576608833.8428
MEM 178.464844 1576608833.9646
MEM 181.269531 1576608834.0793
MEM 181.753906 1576608834.1960
MEM 185.406250 1576608834.3067
MEM 187.343750 1576608834.4124
MEM 191.285156 1576608834.5211
MEM 192.500000 1576608834.6289
MEM 195.117188 1576608834.7376
MEM 200.468750 1576608834.8431
MEM 200.468750 1576608834.9482
MEM 200.468750 1576608835.0546
MEM 200.468750 1576608835.1598
MEM 200.468750 1576608835.2661
MEM 200.468750 1576608835.3713
MEM 200.468750 1576608835.4764
MEM 200.468750 1576608835.5816
MEM 200.468750 1576608835.6882
MEM 200.468750 1576608835.7933
MEM 203.769531 1576608835.8984
MEM 208.152344 1576608836.0121
MEM 205.128906 1576608836.1198
MEM 205.214844 1576608836.2305
MEM 209.046875 1576608836.3404
MEM 211.402344 1576608836.4531
MEM 212.316406 1576608836.5668
MEM 213.285156 1576608836.6785
MEM 214.699219 1576608836.8032
MEM 214.859375 1576608836.9248
MEM 214.859375 1576608837.0315
MEM 214.859375 1576608837.1382
MEM 214.859375 1576608837.2459
MEM 214.859375 1576608837.3510
MEM 214.859375 1576608837.4571
MEM 214.859375 1576608837.5636
MEM 217.546875 1576608837.6738
MEM 229.796875 1576608837.7814
MEM 215.707031 1576608837.8882
MEM 216.585938 1576608837.9969
MEM 217.316406 1576608838.1076
MEM 218.078125 1576608838.2253
MEM 218.226562 1576608838.3430
MEM 218.226562 1576608838.4481
MEM 218.226562 1576608838.5543
MEM 218.226562 1576608838.6604
MEM 219.601562 1576608838.7806
MEM 241.097656 1576608838.8972
MEM 245.460938 1576608839.0080
MEM 221.921875 1576608839.1167
MEM 219.738281 1576608839.2284
MEM 219.988281 1576608839.3363
MEM 220.582031 1576608839.4530
MEM 220.718750 1576608839.5697
MEM 220.718750 1576608839.6757
MEM 220.718750 1576608839.7832
MEM 220.718750 1576608839.8902
MEM 220.718750 1576608839.9952
MEM 222.093750 1576608840.1053
MEM 239.570312 1576608840.2121
MEM 224.332031 1576608840.3190
MEM 222.085938 1576608840.4289
MEM 222.527344 1576608840.5396
MEM 222.722656 1576608840.6514
MEM 222.722656 1576608840.7651
MEM 222.722656 1576608840.8701
MEM 222.722656 1576608840.9779
MEM 222.722656 1576608841.0844
MEM 222.722656 1576608841.2070
MEM 228.593750 1576608841.3187
MEM 229.511719 1576608841.4284
MEM 249.902344 1576608841.5371
MEM 224.136719 1576608841.6468
MEM 224.703125 1576608841.7585
MEM 225.339844 1576608841.8785
MEM 225.343750 1576608841.9902
MEM 225.343750 1576608842.0988
MEM 225.343750 1576608842.2081
MEM 225.343750 1576608842.3142
MEM 225.343750 1576608842.4205
MEM 225.343750 1576608842.5266
MEM 238.523438 1576608842.6332
MEM 252.417969 1576608842.7429
MEM 226.722656 1576608842.8504
MEM 227.261719 1576608842.9631
MEM 227.640625 1576608843.0868
MEM 227.785156 1576608843.1995
MEM 227.785156 1576608843.3064
MEM 227.785156 1576608843.4123
MEM 227.785156 1576608843.5243
MEM 227.785156 1576608843.6360
MEM 230.535156 1576608843.7507
MEM 234.578125 1576608843.8596
MEM 231.484375 1576608843.9665
MEM 229.449219 1576608844.0762
MEM 230.128906 1576608844.2079
MEM 230.128906 1576608844.3266
MEM 230.128906 1576608844.4316
MEM 230.128906 1576608844.5394
MEM 230.128906 1576608844.6457
MEM 230.128906 1576608844.7523
MEM 234.781250 1576608844.8606
MEM 257.414062 1576608844.9683
MEM 231.375000 1576608845.0772
MEM 231.875000 1576608845.1839
MEM 232.468750 1576608845.3018
MEM 232.574219 1576608845.4155
MEM 232.574219 1576608845.5223
MEM 232.574219 1576608845.6311
MEM 232.574219 1576608845.7371
MEM 232.574219 1576608845.8479
MEM 235.757812 1576608845.9636
MEM 238.593750 1576608846.0733
MEM 239.816406 1576608846.1830
MEM 233.773438 1576608846.2919
MEM 234.203125 1576608846.4016
MEM 235.085938 1576608846.5153
MEM 235.121094 1576608846.6350
MEM 235.101562 1576608846.7416
MEM 235.101562 1576608846.8494
