CMDLINE C:\Users\Muell\Anaconda3\envs\Py3.7-TF2.0\python.exe wasseruhr.py
MEM 0.468750 1576526435.4985
MEM 14.656250 1576526435.6053
MEM 22.117188 1576526435.7130
MEM 28.492188 1576526435.8216
MEM 34.964844 1576526435.9285
MEM 39.390625 1576526436.0352
MEM 39.390625 1576526436.1431
MEM 39.390625 1576526436.2508
MEM 44.640625 1576526436.3579
MEM 69.058594 1576526436.4647
MEM 76.492188 1576526436.5711
MEM 77.816406 1576526436.6828
MEM 80.734375 1576526436.7935
MEM 85.984375 1576526436.9062
MEM 92.421875 1576526437.0209
MEM 94.511719 1576526437.1298
MEM 101.097656 1576526437.2365
MEM 104.628906 1576526437.3476
MEM 105.742188 1576526437.4663
MEM 108.847656 1576526437.5782
MEM 112.976562 1576526437.6849
MEM 118.695312 1576526437.7936
MEM 122.921875 1576526437.9023
MEM 127.128906 1576526438.0110
MEM 133.144531 1576526438.1189
MEM 138.171875 1576526438.2266
MEM 144.585938 1576526438.3343
MEM 147.429688 1576526438.4421
MEM 148.687500 1576526438.5498
MEM 150.859375 1576526438.6566
MEM 151.425781 1576526438.7633
MEM 159.769531 1576526438.8700
MEM 169.234375 1576526438.9777
MEM 171.898438 1576526439.0837
MEM 173.546875 1576526439.1905
MEM 174.500000 1576526439.2983
MEM 177.585938 1576526439.4049
MEM 181.925781 1576526439.5136
MEM 187.425781 1576526439.6215
MEM 189.511719 1576526439.7372
MEM 191.480469 1576526439.8459
MEM 192.683594 1576526439.9531
MEM 195.445312 1576526440.0598
MEM 200.472656 1576526440.1696
MEM 200.472656 1576526440.2747
MEM 200.472656 1576526440.3817
MEM 200.472656 1576526440.4868
MEM 200.472656 1576526440.5920
MEM 200.472656 1576526440.6977
MEM 200.472656 1576526440.8038
MEM 200.472656 1576526440.9090
MEM 200.472656 1576526441.0166
MEM 200.472656 1576526441.1231
MEM 200.472656 1576526441.2291
MEM 200.472656 1576526441.3347
MEM 200.472656 1576526441.4399
MEM 200.472656 1576526441.5469
MEM 200.472656 1576526441.6533
MEM 200.472656 1576526441.7606
MEM 200.472656 1576526441.8667
MEM 200.472656 1576526441.9767
MEM 200.472656 1576526442.0862
MEM 200.472656 1576526442.1930
MEM 200.472656 1576526442.2989
MEM 200.472656 1576526442.4048
MEM 200.472656 1576526442.5113
MEM 200.472656 1576526442.6165
MEM 200.472656 1576526442.7227
MEM 200.472656 1576526442.8288
MEM 200.472656 1576526442.9340
MEM 200.472656 1576526443.0401
MEM 200.472656 1576526443.1456
MEM 200.472656 1576526443.2525
MEM 200.472656 1576526443.3577
MEM 200.472656 1576526443.4650
MEM 200.472656 1576526443.5718
MEM 200.472656 1576526443.6778
MEM 200.472656 1576526443.7829
MEM 200.472656 1576526443.8891
MEM 200.472656 1576526443.9958
MEM 200.472656 1576526444.1019
MEM 200.472656 1576526444.2120
MEM 200.472656 1576526444.3197
MEM 200.472656 1576526444.4265
MEM 200.472656 1576526444.5327
MEM 200.472656 1576526444.6389
MEM 200.472656 1576526444.7448
MEM 200.472656 1576526444.8499
MEM 200.472656 1576526444.9563
MEM 200.472656 1576526445.0625
MEM 200.472656 1576526445.1688
MEM 200.472656 1576526445.2752
MEM 200.472656 1576526445.3814
MEM 200.472656 1576526445.4876
MEM 200.472656 1576526445.5938
MEM 200.472656 1576526445.6997
MEM 200.472656 1576526445.8048
MEM 200.472656 1576526445.9100
MEM 200.472656 1576526446.0166
MEM 200.472656 1576526446.1232
MEM 200.472656 1576526446.2284
MEM 200.472656 1576526446.3350
MEM 200.472656 1576526446.4477
MEM 200.472656 1576526446.5555
MEM 200.472656 1576526446.6605
MEM 200.472656 1576526446.7668
MEM 200.472656 1576526446.8719
MEM 200.472656 1576526446.9783
MEM 200.472656 1576526447.0849
MEM 200.472656 1576526447.1900
MEM 200.472656 1576526447.2961
MEM 200.472656 1576526447.4013
MEM 200.472656 1576526447.5075
MEM 200.472656 1576526447.6127
MEM 200.472656 1576526447.7188
MEM 200.472656 1576526447.8250
MEM 200.472656 1576526447.9301
MEM 200.472656 1576526448.0357
MEM 200.472656 1576526448.1419
MEM 200.472656 1576526448.2481
MEM 200.472656 1576526448.3533
MEM 200.472656 1576526448.4605
MEM 200.472656 1576526448.5661
MEM 200.472656 1576526448.6791
MEM 200.472656 1576526448.7858
MEM 200.472656 1576526448.8919
MEM 200.472656 1576526448.9984
MEM 200.472656 1576526449.1048
MEM 200.472656 1576526449.2102
MEM 200.472656 1576526449.3163
MEM 200.472656 1576526449.4226
MEM 200.472656 1576526449.5278
MEM 200.472656 1576526449.6330
MEM 200.472656 1576526449.7392
MEM 200.472656 1576526449.8443
MEM 200.472656 1576526449.9508
MEM 200.472656 1576526450.0560
MEM 200.472656 1576526450.1611
MEM 200.472656 1576526450.2674
MEM 200.472656 1576526450.3736
MEM 200.472656 1576526450.4798
MEM 200.472656 1576526450.5860
MEM 200.472656 1576526450.6922
MEM 200.472656 1576526450.7989
MEM 200.472656 1576526450.9092
MEM 200.472656 1576526451.0169
MEM 200.472656 1576526451.1239
MEM 200.472656 1576526451.2290
MEM 200.472656 1576526451.3352
MEM 200.472656 1576526451.4414
MEM 200.472656 1576526451.5480
MEM 200.472656 1576526451.6540
MEM 200.472656 1576526451.7609
MEM 200.472656 1576526451.8675
MEM 200.472656 1576526451.9743
MEM 200.472656 1576526452.0811
MEM 200.472656 1576526452.1870
MEM 200.472656 1576526452.2934
MEM 200.472656 1576526452.3994
MEM 200.472656 1576526452.5059
MEM 200.472656 1576526452.6184
MEM 200.472656 1576526452.7282
MEM 200.472656 1576526452.8378
MEM 200.472656 1576526452.9439
MEM 200.472656 1576526453.0508
MEM 200.472656 1576526453.1643
MEM 200.472656 1576526453.2840
MEM 200.472656 1576526453.3947
MEM 200.472656 1576526453.5034
MEM 200.472656 1576526453.6143
MEM 200.472656 1576526453.7212
MEM 200.472656 1576526453.8288
MEM 200.472656 1576526453.9371
MEM 200.472656 1576526454.0433
MEM 200.472656 1576526454.1487
MEM 200.472656 1576526454.2551
MEM 200.472656 1576526454.3621
MEM 200.472656 1576526454.4674
MEM 200.472656 1576526454.5740
MEM 200.472656 1576526454.6805
MEM 200.472656 1576526454.7867
MEM 200.472656 1576526454.8928
MEM 200.472656 1576526454.9994
MEM 200.472656 1576526455.1050
MEM 200.472656 1576526455.2105
MEM 200.472656 1576526455.3161
MEM 200.472656 1576526455.4223
MEM 200.472656 1576526455.5332
MEM 200.472656 1576526455.6393
MEM 200.472656 1576526455.7456
MEM 200.472656 1576526455.8525
MEM 200.472656 1576526455.9589
MEM 200.472656 1576526456.0657
MEM 200.472656 1576526456.1717
MEM 200.472656 1576526456.2779
MEM 200.472656 1576526456.3830
MEM 200.472656 1576526456.4884
MEM 200.472656 1576526456.5946
MEM 200.472656 1576526456.7011
MEM 200.472656 1576526456.8079
MEM 200.472656 1576526456.9141
MEM 200.472656 1576526457.0192
MEM 200.472656 1576526457.1248
MEM 200.472656 1576526457.2323
MEM 200.472656 1576526457.3383
MEM 200.472656 1576526457.4459
MEM 200.472656 1576526457.5526
MEM 200.472656 1576526457.6588
MEM 200.472656 1576526457.7706
MEM 200.472656 1576526457.8773
